COMID,NWs,SiteClass,BFICat
3399910,0.149838001,HiN,32.73627002
3399912,0.149838001,HiN,38.89811739
3399914,0.149838001,HiN,39
3399916,0.149838001,HiN,32.63650041
3399918,0.149838001,HiN,37.99055794
3399920,0.149838001,HiN,39
3399922,0.149838001,HiN,32.25670075
3399924,0.149838001,HiN,39
3399926,0.149838001,HiN,39.63163717
3399928,0.149838001,HiN,40
3399930,0.149838001,HiN,40.53015682
3399932,0.149838001,HiN,36.10117057
3399934,0.149838001,HiN,37.0110957
3399936,0.149838001,HiN,37.192
3399938,0.149838001,HiN,37
3399940,0.149838001,HiN,40.21985128
3399972,0.154167942,HiN,39.00459911
3399974,0.185182665,HiN,50.99207816
3399976,0.149838001,HiN,39
3399978,0.149838001,HiN,39
3399980,0.149838001,HiN,49.70158014
3399982,0.149838001,HiN,39.69266943
3399984,0.18320423,HiN,54.00240848
3399986,0.149838001,HiN,41.15054545
3399988,0.149838001,HiN,41.84070058
3399990,0.149838001,HiN,39.33157199
3399992,0.149838001,HiN,38.61262136
3399996,0.149838001,HiN,34.17102473
3399998,0.181406455,HiN,50.44591611
3400000,0.149838001,HiN,42.94674768
3400002,0.184459679,HiN,54
3400004,0.180135525,HiN,53.66545784
3400006,0.149838001,HiN,42
3400008,0.149838001,HiN,41.93559322
3400010,0.149838001,HiN,31.80487805
3400012,0.149838001,HiN,41
3400014,0.149838001,HiN,41
3400016,0.149838001,HiN,41
3400018,0.149838001,HiN,34.44964539
3400020,0.149838001,HiN,36
3400022,0.150004488,HiN,31.95717387
3400024,0.149838001,HiN,40
3400026,0.149838001,HiN,32
3400028,0.149838001,HiN,41.61829026
3400030,0.149838001,HiN,40.09569378
3400032,0.281848927,HiN,51
3400034,0.149838001,HiN,41
3400036,0.149838001,HiN,41.32662192
3400038,0.149838001,HiN,37
3404899,0.048818688,LoN,26.17884482
3404901,0.049503812,LoN,26.21316425
3404915,0.0488837,LoN,26
3404921,0.049250134,LoN,25.32380952
3404947,0.043499999,LoN,25.98982188
3404949,0.045934985,LoN,25.69560976
3404951,0.046552996,LoN,25.08438155
3404971,0.049280829,LoN,24.0191749
3404973,0.048124637,LoN,24
3404981,0.048385525,LoN,24
3404985,0.048077966,LoN,24
3404987,0.043499999,LoN,25
3404995,0.043499999,LoN,24.96363636
3405001,0.043499999,LoN,25
3405003,0.043499999,LoN,25
3405005,0.047494781,LoN,24
3405007,0.043952347,LoN,24
3405011,0.044120794,LoN,24
3405015,0.047208738,LoN,24
3405023,0.043499999,LoN,25
3405025,0.043499999,LoN,25
3405027,0.043499999,LoN,24.21581769
3405035,0.043499999,LoN,24
3405037,0.043499999,LoN,24.85893855
3405039,0.043499999,LoN,24.57961783
3405043,0.043499999,LoN,23
3405045,0.043499999,LoN,24.17825739
3405049,0.043499999,LoN,24
3405051,0.043499999,LoN,24
3405053,0.047194319,LoN,24
3405055,0.047148604,LoN,24
3405057,0.047174051,LoN,24
3405059,0.047114717,LoN,24
3405065,0.047022238,LoN,24
3405067,0.043499999,LoN,24
3405069,0.043499999,LoN,24.18826868
3405073,0.043499999,LoN,24
3405075,0.046921075,LoN,24
3405077,0.046917917,LoN,24
3405079,0.046920424,LoN,24
3405081,0.046916711,LoN,24
3405083,0.043499999,LoN,24.25634825
3405091,0.046784053,LoN,24
3405093,0.043499999,LoN,24.4115347
3405095,0.043499999,LoN,24.42224511
3405097,0.046782923,LoN,24
3405099,0.046771679,LoN,24
3405103,0.04356223,LoN,24
3405105,0.046756787,LoN,24
3405107,0.043499999,LoN,24
3405111,0.043499999,LoN,23.94898551
3405113,0.043499999,LoN,23
3405115,0.043671533,LoN,23.16674676
3405121,0.043499999,LoN,23.31722881
3405123,0.043499999,LoN,22.63672655
3405129,0.043499999,LoN,22
3405135,0.045986154,LoN,23.25750928
3405139,0.047535921,LoN,22
3405141,0.043566504,LoN,23
3405143,0.043499999,LoN,22.97723899
3405149,0.043621922,LoN,23.10168758
3405151,0.043600876,LoN,21.51335878
3405155,0.043499999,LoN,23.06975346
3405157,0.043499999,LoN,22.55062241
3405165,0.043499999,LoN,22.25183733
3405167,0.043499999,LoN,22
3405175,0.043499999,LoN,22
3405177,0.043537337,LoN,21.20042194
3405179,0.043768435,LoN,21.94113757
3405181,0.044148494,LoN,21.53170359
3405183,0.045762463,LoN,21
3405187,0.045759076,LoN,21
3405191,0.04382685,LoN,21.1825495
3405193,0.045635204,LoN,21
3405195,0.046667259,LoN,22
3405197,0.045865082,LoN,21.57212268
3405199,0.043514264,LoN,22
3405201,0.043670284,LoN,21.89558233
3405205,0.046448152,LoN,22
3405209,0.047602709,LoN,22
3405211,0.043821392,LoN,21.96756082
3405213,0.046311811,LoN,21.79624665
3405215,0.045696795,LoN,21
3405217,0.044037283,LoN,21.36557121
3405219,0.044556066,LoN,21.30580826
3405223,0.044109091,LoN,22
3405225,0.04429741,LoN,22
3405233,0.043499999,LoN,20.93514276
3405235,0.04590144,LoN,20.94280908
3405239,0.044301023,LoN,21.14122137
3405243,0.045854759,LoN,19.15683705
3405245,0.044145669,LoN,20.86299616
3405253,0.044215941,LoN,19
3405255,0.044119824,LoN,20.14593382
3405257,0.043943216,LoN,19
3405271,0.043665173,LoN,20.28478215
3405275,0.043499999,LoN,20.33699161
3405277,0.045704505,LoN,19.79781746
3405279,0.043499999,LoN,19
3405285,0.043499999,LoN,19.07608313
3405289,0.04388826,LoN,19.04573805
3405291,0.043499999,LoN,19
3405297,0.052520797,LoN,19
3405299,0.043499999,LoN,18.80174465
3405305,0.043499999,LoN,19.65590704
3405309,0.043499999,LoN,19.85665674
3405311,0.043499999,LoN,19
3405317,0.043499999,LoN,18.65723702
3405321,0.043499999,LoN,19.32394366
3405323,0.043499999,LoN,17.51190476
3405325,0.046479795,LoN,18.98330122
3405337,0.046214214,LoN,17.36626506
3405339,0.043577774,LoN,19
3405341,0.043518281,LoN,18.57522124
3405343,0.04350316,LoN,17.75859375
3405345,0.04722364,LoN,18
3405347,0.047314117,LoN,17.05
3405357,0.047752065,LoN,17
3405359,0.044021877,LoN,19
3405361,0.043511991,LoN,19
3405363,0.043499999,LoN,18
3405365,0.043499999,LoN,18.10141928
3405367,0.043689436,LoN,19
